alert_id,story_id,case_id,alert_type,trigger,evidence_status,uncertainty,contradiction_status,priority,status,created_at,reviewed_at,resolution
ALT-STORY-0001,,,STORY_CENTRAL_PROPOSITION_UNSUPPORTED,,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0002,,,STORY_PRIMARY_EVIDENCE_GAP,,WEAK,HIGH,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0003,,,STORY_FALSE_CORROBORATION,,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0004,,,STORY_MATERIAL_CONTRADICTION,,CONTRADICTORY,HIGH,YES,HIGH,DETECTED,,,
ALT-STORY-0005,,,STORY_HEADLINE_OVERCLAIM,,UNKNOWN,HIGH,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0006,,,STORY_CAUSALITY_OVERSTATEMENT,,UNKNOWN,HIGH,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0007,,,STORY_ATTRIBUTION_GAP,,UNKNOWN,HIGH,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0008,,,STORY_CONTEXT_LOSS_RISK,,UNKNOWN,MEDIUM,UNKNOWN,MEDIUM,DETECTED,,,
ALT-STORY-0009,,,STORY_PROVENANCE_RISK,,UNKNOWN,HIGH,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0010,,,STORY_OPEN_QUESTION_UNRESOLVED,,UNKNOWN,HIGH,UNKNOWN,MEDIUM,DETECTED,,,
ALT-STORY-0011,,,STORY_IMPACT_EVIDENCE_GAP,,UNKNOWN,HIGH,UNKNOWN,HIGH,DETECTED,,,
ALT-STORY-0012,,,STORY_READY_FOR_DECISION,,STRONG,LOW,NO,HIGH,DETECTED,,,
