feed_id,source_id,channel_id,endpoint_id,feed_name,resource_type,update_frequency,update_trigger,reference_period,revision_policy,versioning,priority,verification_status,notes
FEED-EUROSTAT-SDMX30,EUROSTAT-001,EUROSTAT-SDMX-002,EP-EUROSTAT-SDMX30-001,Eurostat statistical data,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A,PENDING,Use dataset/dataflow identity and release timestamp
FEED-BIS-DATA,BIS-001,BIS-DATA-001,EP-BIS-DATA-001,BIS statistical data,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A,PENDING,Distinguish observation date from publication date
FEED-EIOPA-RFR,EIOPA-001,EIOPA-RFR-001,EP-EIOPA-RFR-001,Risk-free interest rate term structures,DATASET,monthly,monthly_release,monthly,revised,versioned,A,PENDING,Technical regulatory data
FEED-BLS-LATEST,BLS-001,BLS-RSS-001,EP-BLS-RSS-001,BLS latest releases,FEED,on_release,publication,varies,releases_may_be_revised,item_based,A,PENDING,Feed is discovery layer; retain original release
FEED-AEMET-CAP,AEMET-001,AEMET-CAP-001,EP-AEMET-CAP-001,AEMET severe weather alerts,CAP,event_driven,alert_update,validity_window,update_cancel_expire,alert_version,A+,PENDING,CAP effective and expiry times are authoritative alert metadata
FEED-FAOSTAT,FAO-001,FAOSTAT-001,EP-FAOSTAT-001,FAOSTAT statistics,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A+,PENDING,Preserve dataset version and extraction date
FEED-WHO-GHO,WHO-001,WHO-GHO-001,EP-WHO-GHO-001,Global Health Observatory,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A+,PENDING,Indicator metadata required for interpretation
FEED-WHO-DON,WHO-001,WHO-DON-001,EP-WHO-DON-001,Disease Outbreak News,FEED,on_release,publication,event_based,updates_possible,item_based,A+,PENDING,Original outbreak communication should be preserved
FEED-UNICEF-DATA,UNICEF-001,UNICEF-DATA-001,EP-UNICEF-DATA-001,UNICEF Data,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A+,PENDING,Children indicators
FEED-UNICEF-EMERGENCIES,UNICEF-001,UNICEF-EMERG-001,EP-UNICEF-EMERG-001,UNICEF emergencies,FEED,event_driven,publication,event_based,updates_possible,item_based,A+,PENDING,Humanitarian monitoring
