source_id,source_name,institution,source_type,source_nature,authority_level,editorial_role,radar,channel_type,channel_status,source_verified,channel_verified,endpoint_verified,primary_evidence_available,supports_claims,supports_events,supports_data,limitations
BIS-001,Bank for International Settlements,BIS,FINANCE,PRIMARY,A+,DATA,MARKET RADAR;DATA RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Institutional data must be interpreted within methodology
CFTC-001,Commodity Futures Trading Commission,CFTC,REGULATOR,PRIMARY,A+,DISCOVERY;BREAKING_NEWS,MARKET RADAR;REGULATORY RADAR,RSS,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Regulatory announcements do not replace underlying filings
BLS-001,Bureau of Labor Statistics,BLS,STATISTICAL_AGENCY,PRIMARY,A+,DATA;BREAKING_NEWS,DATA RADAR;MARKET RADAR,RSS,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Releases may be revised
WTO-001,World Trade Organization,WTO,INTERNATIONAL_ORGANIZATION,PRIMARY,A,DISCOVERY;DATA,MARKET RADAR;DATA RADAR,RSS,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Distinguish official statistics from commentary
WB-001,World Bank,World Bank,DEVELOPMENT_DATA,PRIMARY,A+,DATA;CONTEXT,HUMAN DEVELOPMENT RADAR;DATA RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Country data have methodological and temporal limits
TREASURY-US-001,U.S. Department of the Treasury,U.S. Treasury,EXECUTIVE_INSTITUTION,PRIMARY,A+,BREAKING_NEWS;DOCUMENT,MARKET RADAR;POLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Statements and releases are authoritative only for Treasury actions
BEA-001,Bureau of Economic Analysis,BEA,STATISTICAL_AGENCY,PRIMARY,A+,DATA,DATA RADAR;MARKET RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,National accounts and estimates can be revised
EUROSTAT-001,Eurostat,European Commission,STATISTICAL_AGENCY,PRIMARY,A+,DATA,DATA RADAR;SOCIAL DATA RADAR,SDMX,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Dataset definitions and revisions must be retained
AMECO-001,AMECO,European Commission,ECONOMIC_DATABASE,PRIMARY,A+,DATA;CONTEXT,DATA RADAR;MARKET RADAR,DATASET,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Forecasts are not observations
EIOPA-001,European Insurance and Occupational Pensions Authority,EIOPA,REGULATOR,PRIMARY,A+,REGULATORY_ACTION;DATA,REGULATORY RADAR;MARKET RADAR,RSS,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Technical files and regulatory decisions require version/date control
ESMA-001,European Securities and Markets Authority,ESMA,REGULATOR,PRIMARY,A+,REGULATORY_ACTION;DATA,REGULATORY RADAR;MARKET RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Distinguish supervisory action from market commentary
EBA-001,European Banking Authority,EBA,REGULATOR,PRIMARY,A+,REGULATORY_ACTION;DATA,REGULATORY RADAR;MARKET RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Technical standards and guidance have different legal effects
EURONEXT-001,Euronext,Euronext,MARKET_OPERATOR,PRIMARY,A,MARKET_EVENT;DATA,MARKET RADAR,RSS,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Market data are observations and not automatically causal explanations
IMF-001,International Monetary Fund,IMF,INTERNATIONAL_FINANCE,PRIMARY,A+,DATA;CONTEXT,MARKET RADAR;DATA RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Forecasts and assessments must not be treated as observed facts
OECD-001,Organisation for Economic Co-operation and Development,OECD,INTERNATIONAL_ORGANIZATION,PRIMARY,A,DATA;CONTEXT,DATA RADAR;HUMAN DEVELOPMENT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Definitions and harmonisation vary by indicator
UNCTAD-001,UN Trade and Development,UNCTAD,INTERNATIONAL_ORGANIZATION,PRIMARY,A+,DATA;CONTEXT,MARKET RADAR;HUMAN DEVELOPMENT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Trade and investment estimates may be revised
EEA-001,European Environment Agency,EEA,ENVIRONMENTAL_AGENCY,PRIMARY,A+,DATA;CONTEXT,ENVIRONMENTAL DATA RADAR;DATA RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Environmental indicators require methodology and geographic scope
COPERNICUS-001,Copernicus Data Space Ecosystem,European Union,EARTH_OBSERVATION,PRIMARY,A+,OBSERVATION;DATA,SATELLITE RADAR;ENVIRONMENTAL DATA RADAR,API,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Satellite imagery is evidence requiring temporal/geospatial interpretation
