feed_id,source_id,channel_id,feed_name,feed_type,resource_scope,update_pattern,expected_frequency,temporal_semantics,discovery_role,evidence_role,verification_status,notes
FEED-EUROSTAT-SDMX21-001,EUROSTAT-001,EUROSTAT-SDMX21-001,Eurostat SDMX 2.1 datasets,SDMX_API,statistical datasets,scheduled_or_revision,variable,release_date_and_reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Dataset selection and query parameters must be preserved.
FEED-EUROSTAT-RSS-001,EUROSTAT-001,EUROSTAT-RSS-001,Eurostat news and data updates,RSS,statistical publications and updates,irregular,irregular,published_timestamp,NEWS_DISCOVERY,CONTEXT,PENDING,Secondary to the underlying dataset or publication.
FEED-BIS-DATA-001,BIS-001,BIS-DATA-001,BIS statistical data feed,DATA_API,banking monetary and financial statistics,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Methodology and vintage must be retained.
FEED-BIS-CALENDAR-001,BIS-001,BIS-CALENDAR-001,BIS release calendar,CALENDAR,scheduled statistical releases,scheduled,scheduled,release_timestamp,EARLY_WARNING,CONTEXT,PENDING,Calendar entry is not itself evidence of the released result.
FEED-EIOPA-RFR-001,EIOPA-001,EIOPA-RFR-001,Risk-free interest rate term structures,DATASET,insurance technical financial data,monthly,monthly,effective_date,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Store publication date and applicable reference/effective date.
FEED-EIOPA-EQADJ-001,EIOPA-001,EIOPA-EQADJ-001,Symmetric adjustment of equity capital charge,DATASET,insurance prudential indicators,monthly,monthly,effective_date,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Use official technical file as evidence.
FEED-BLS-LATEST-001,BLS-001,BLS-RSS-001,BLS latest releases,RSS,labor price employment and productivity releases,scheduled,variable,publication_timestamp,NEWS_DISCOVERY,CONTEXT,PENDING,Resolve release to official table or series where applicable.
FEED-AEMET-CAP-001,AEMET-001,AEMET-CAP-001,AEMET CAP alerts,CAP,meteorological warnings,real_time_or_scheduled,variable,event_validity_interval,ALERT_DISCOVERY,ALERT_EVIDENCE,PENDING,CAP message validity and issue time must both be retained.
FEED-FAOSTAT-001,FAO-001,FAOSTAT-001,FAOSTAT statistical datasets,DATA_API,food agriculture fisheries and development data,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Dataset definition and revision status required.
FEED-WHO-GHO-001,WHO-001,WHO-GHO-001,WHO Global Health Observatory,DATASET,global health indicators,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Indicator metadata must accompany observations.
FEED-WHO-DON-001,WHO-001,WHO-DON-001,Disease Outbreak News,NEWS_FEED,outbreak reports and public health events,irregular,irregular,publication_timestamp,ALERT_DISCOVERY,EVENT_EVIDENCE,PENDING,Event reports should be resolved to WHO publication.
FEED-UNICEF-DATA-001,UNICEF-001,UNICEF-DATA-001,UNICEF Data,DATASET,children and social indicators,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Preserve dataset version and methodology.
FEED-UNICEF-EMERG-001,UNICEF-001,UNICEF-EMERG-001,UNICEF emergencies,NEWS_FEED,humanitarian emergencies affecting children,irregular,irregular,publication_timestamp,ALERT_DISCOVERY,EVENT_EVIDENCE,PENDING,Use as humanitarian evidence with contextual limitations.
FEED-UNHCR-ODP-001,UNHCR-001,UNHCR-ODP-001,UNHCR Operational Data Portal,DATASET,refugees asylum displacement and operational response,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Operational data can be revised.
FEED-UNHCR-RDF-001,UNHCR-001,UNHCR-RDF-001,UNHCR Refugee Data Finder,DATASET,refugee and forced displacement statistics,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Distinguish stock flow and annual estimates.
FEED-UNFPA-DATA-001,UNFPA-001,UNFPA-DATA-001,UNFPA data,DATASET,population reproductive health and development indicators,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Metadata and estimation method required.
FEED-UIS-001,UNESCO-UIS-001,UNESCO-UIS-001,UNESCO Institute for Statistics,DATASET,education science culture and demographic indicators,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Prefer official UIS indicator metadata.
FEED-UNEP-DATA-001,UNEP-001,UNEP-DATA-001,UNEP environment data,DATASET,environment and climate indicators,scheduled,variable,reference_period,DATA_DISCOVERY,DATA_EVIDENCE,PENDING,Dataset lineage and update date required.
FEED-CISA-KEV-001,CISA-KEV-001,CISA-KEV-001,Known Exploited Vulnerabilities Catalog,DATASET,known exploited cybersecurity vulnerabilities,continuous,irregular,added_timestamp,ALERT_DISCOVERY,SECURITY_EVIDENCE,PENDING,KEV inclusion is a strong exploitation signal but must be interpreted with affected-product evidence.
FEED-NVD-001,NVD-001,NVD-API-001,NVD vulnerability database,API,vulnerability enrichment and scoring,continuous,irregular,last_modified,DATA_DISCOVERY,SECURITY_EVIDENCE,PENDING,CVSS version and modification history must be retained.
FEED-CVE-001,CVE-001,CVE-CHANNEL-001,CVE Records,DATASET,CVE identifiers and records,continuous,irregular,record_timestamp,DATA_DISCOVERY,SECURITY_EVIDENCE,PENDING,CVE record does not itself prove exploitation.
FEED-WMO-CAP-001,WMO-001,WMO-CAP-001,Global Multi-hazard Alert System CAP,CAP,multi-hazard alerts,real_time,variable,event_validity_interval,ALERT_DISCOVERY,ALERT_EVIDENCE,PENDING,Retain issuing authority and alert lifecycle.
FEED-COPERNICUS-SENTINEL-001,COPERNICUS-001,COPERNICUS-DATA-001,Sentinel observations,DATASET,satellite imagery and Earth observation,continuous,variable,acquisition_timestamp,OBSERVATION_DISCOVERY,OBSERVATIONAL_EVIDENCE,PENDING,Acquisition time and processing level are essential.
FEED-OSM-OVERPASS-001,OSM-001,OSM-OVERPASS-001,Overpass API,API,OpenStreetMap geospatial features,on_demand,variable,query_timestamp,REFERENCE_DISCOVERY,GEOREFERENCE,PENDING,OSM is community-maintained and should be treated as reference evidence rather than sole proof.
FEED-OPENSKY-REST-001,OPENSKY-001,OPENSKY-REST-001,OpenSky aircraft state vectors,API,aviation tracking observations,near_real_time,variable,observation_timestamp,OBSERVATION_DISCOVERY,OBSERVATIONAL_EVIDENCE,PENDING,Coverage limitations and receiver network context must be retained.
FEED-ACLED-EVENT-001,ACLED-001,ACLED-API-001,ACLED conflict event data,API,political violence and conflict events,scheduled_or_continuous,variable,event_date,EVENT_DISCOVERY,CONTEXTUAL_DATA,PENDING,ACLED is a structured event dataset and does not automatically constitute original incident evidence.
FEED-UCDP-GED-001,UCDP-001,UCDP-DATA-001,UCDP Georeferenced Event Dataset,DATASET,organized violence events,periodic,periodic,event_date,EVENT_DISCOVERY,CONTEXTUAL_DATA,PENDING,Distinguish event coding from direct source evidence.
FEED-OCHA-SR-001,OCHA-001,OCHA-SITREP-001,OCHA situation reports,DOCUMENT_FEED,humanitarian situation reporting,irregular,irregular,publication_timestamp,ALERT_DISCOVERY,EVENT_EVIDENCE,PENDING,Reports may incorporate multiple underlying sources.
FEED-RELIEFWEB-001,RELIEFWEB-001,RELIEFWEB-001,ReliefWeb reports,AGGREGATOR_FEED,humanitarian reports and documents,continuous,irregular,publication_timestamp,DISCOVERY,CONTEXT,PENDING,Preserve original issuing organization; ReliefWeb is not automatically the originating source.
FEED-UNOSAT-001,UNOSAT-001,UNOSAT-001,UNOSAT satellite-derived damage assessments,DATASET,geospatial damage and crisis mapping,irregular,irregular,publication_timestamp,OBSERVATION_DISCOVERY,ANALYTICAL_EVIDENCE,PENDING,Assessment methodology and imagery acquisition date must be retained.
FEED-UN-SC-RES-001,UN-SC-001,UN-SC-002,UN Security Council resolutions,DOCUMENT_FEED,resolutions and decisions,scheduled_or_irregular,irregular,adoption_timestamp,REGULATORY_DISCOVERY,PRIMARY_DOCUMENT,PENDING,Adoption and publication dates may differ.
FEED-UN-SC-SAN-001,UN-SC-001,UN-SC-003,UN sanctions lists,DATASET,sanctions designations,irregular,irregular,effective_timestamp,REGULATORY_DISCOVERY,PRIMARY_DATA,PENDING,Use official designation record and effective date.
FEED-IDEA-ELECTION-001,IDEA-001,IDEA-ELECTORAL-001,International IDEA electoral data,DATASET,electoral systems and democracy indicators,periodic,periodic,reference_period,DATA_DISCOVERY,CONTEXTUAL_DATA,PENDING,Not a substitute for national official results.
FEED-OSCE-ELECTION-001,OSCE-ODIHR-001,OSCE-ODIHR-001,OSCE/ODIHR election observation,REPORT_FEED,election observation and assessments,mission_based,irregular,publication_timestamp,ELECTION_DISCOVERY,OBSERVATIONAL_EVIDENCE,PENDING,Observation findings must remain distinct from official results.
FEED-FEC-DATA-001,FEC-001,FEC-DATA-001,US FEC campaign finance data,DATASET,campaign finance and filings,continuous,variable,filing_timestamp,DATA_DISCOVERY,PRIMARY_DATA,PENDING,Filings may be amended; retain version and filing date.
FEED-REUTERS-VIS-001,REUTERS-001,REUTERS-VIS-001,Reuters visual verification,VERIFICATION_FEED,visual verification and investigative evidence,irregular,irregular,publication_timestamp,VERIFICATION_DISCOVERY,VERIFICATION_EVIDENCE,PENDING,Verification methodology and underlying media should be retained where available.
FEED-EFE-VERIFY-001,EFE-001,EFE-VERIFY-001,EFE Verifica,VERIFICATION_FEED,fact checking and verification,irregular,irregular,publication_timestamp,VERIFICATION_DISCOVERY,VERIFICATION_EVIDENCE,PENDING,Secondary verification source; seek original evidence.
FEED-MALDITA-001,MALDITA-001,MALDITA-001,Maldita fact checking,VERIFICATION_FEED,fact checking and misinformation monitoring,irregular,irregular,publication_timestamp,CLAIM_DISCOVERY,VERIFICATION_EVIDENCE,PENDING,Fact-check result should preserve claim wording and evidence trail.
FEED-EUVSDISINFO-001,EUVSDISINFO-001,EUVSDISINFO-FIMI-001,EUvsDisinfo FIMI resources,DATASET,foreign information manipulation and interference,irregular,irregular,publication_timestamp,NARRATIVE_DISCOVERY,CONTEXTUAL_EVIDENCE,PENDING,Do not infer campaign attribution without supporting evidence.
FEED-INVID-001,INVID-001,VERIFY-INVID-001,InVID verification workflow,TOOL_FEED,video and image verification,ON_DEMAND,on_demand,verification_timestamp,VERIFICATION_DISCOVERY,VERIFICATION_EVIDENCE,PENDING,Tool output is an analytical observation and requires human interpretation.
