node_type,node_id,description,core_attributes,allowed_outgoing,allowed_incoming
SOURCE,source_id,Institution or publisher origin,authority_level;institutional_verification,OWNS_CHANNEL;PRODUCES_FEED;SUPPORTS_EVENT;SUPPORTS_CLAIM,
CHANNEL,channel_id,Institutional publication/distribution channel,channel_type;verification_status,EXPOSES_ENDPOINT;PUBLISHES_FEED,SOURCE_OWNS_CHANNEL
ENDPOINT,endpoint_id,Technical access point,protocol;verification_status;last_verified,DELIVERS_FEED;RETURNS_OBSERVATION,CHANNEL_EXPOSES_ENDPOINT
FEED,feed_id,Monitorable resource or dataset,version;update_pattern;revision_policy,PRODUCES_OBSERVATION;DESCRIBES_EVENT;SUPPORTS_CLAIM,ENDPOINT_DELIVERS_FEED
OBSERVATION,observation_id,Direct recorded measurement or state,timestamp;value;unit;provenance,DESCRIBES_EVENT;SUPPORTS_CLAIM;GENERATES_SIGNAL,FEED_PRODUCES_OBSERVATION
EVENT,event_id,Real-world or institutional occurrence,date;location;status;authority,IS_DESCRIBED_BY;SUPPORTED_BY;GENERATES_SIGNAL,OBSERVATION_DESCRIBES_EVENT;SOURCE_SUPPORTS_EVENT;CLAIM_DESCRIBES_EVENT
CLAIM,claim_id,Proposition asserted by a source or actor,text;speaker;date;verification_status,SUPPORTED_BY;CONTRADICTS;RELATES_TO;GENERATES_SIGNAL,EVENT_DESCRIBED_BY;SOURCE_SUPPORTS_CLAIM;OBSERVATION_SUPPORTS_CLAIM
NARRATIVE,narrative_id,Cluster of related claims,claim_ids;actors;timeframe;confidence,CONTAINS_CLAIM;GENERATES_SIGNAL,CLAIM_RELATES_TO
EVIDENCE,evidence_id,Concrete evidentiary item,kind;location;captured_at;hash_or_reference,SUPPORTS;CONTRADICTS,CLAIM_SUPPORTED_BY;EVENT_SUPPORTED_BY
SIGNAL,signal_id,Internal editorial detection,type;detected_at;priority;verification_status,TRIGGERS_REVIEW,OBSERVATION_GENERATES_SIGNAL;EVENT_GENERATES_SIGNAL;CLAIM_GENERATES_SIGNAL;NARRATIVE_GENERATES_SIGNAL
VERIFICATION,verification_id,Editorial assessment of evidence,method;reviewed_at;reviewer;result;confidence,SUPPORTS_STATUS;REVISES_STATUS,CLAIM_VERIFIED_BY;EVENT_VERIFIED_BY;EVIDENCE_VERIFIED_BY
